Restaurant: 5th Street Bar & Cafe, address: Viides linja 7, HELSINKI
Restaurant: Cafe II-Linja 23, address: Toinen linja 23, HELSINKI
Restaurant: Cafe Kontula, address: Keinulaudankuja 4 D, HELSINKI
Restaurant: Cafe Lemon Bar, address: Kauppalantie 22, HELSINKI
Restaurant: Cafe London Pub, address: Keinulaudankuja 4 D, HELSINKI
Restaurant: Cafe Mascot, address: Neljäs linja 2, HELSINKI
Restaurant: Cafe Otto, address: Harustie 2, HELSINKI
Restaurant: Cafe Talo, address: Hämeentie 2, HELSINKI
Restaurant: Cafe Vanha, address: Mannerheimintie 3, HELSINKI
Restaurant: Cafè Ekberg, address: Bulevardi 9, HELSINKI
Restaurant: Café Jugend, address: Pohjoisesplanadi 19, HELSINKI
Restaurant: Café Kiasma, address: Mannerheiminaukio 1, HELSINKI
Restaurant: Café Lasipalatsi, address: Mannerheimintie 22-24, HELSINKI
Restaurant: Café Tin Tin Tango, address: Töölöntorinkatu 7, HELSINKI
Restaurant: Café Ursula, Kaivopuisto, address: Ehrenströmintie 3, HELSINKI
Restaurant: Cantina West, address: Kasarmikatu 23, HELSINKI
Restaurant: Casa Largo, address: Asema-aukio 2, HELSINKI
Restaurant: Casino Helsinki Royal Ravintolat, address: Mikonkatu 19, HELSINKI
Restaurant: Chico's Kallio, address: Porthaninkatu 4, HELSINKI
Restaurant: Ciao! Caffé & Winebar, address: Aleksanterinkatu 28 Kiseleffin talo, HELSINKI
Restaurant: Club Liberté, address: Kolmas linja 34, HELSINKI
Restaurant: Club Vatican, address: Simonkatu 6, HELSINKI
Restaurant: Coffee House Kylä-ravintolat Kaari, address: Kantelettarentie 1, HELSINKI
Restaurant: Corona Baari, address: Eerikinkatu 11, HELSINKI
Restaurant: Cuba cafe & Party room, address: Erottajankatu 4, HELSINKI
Restaurant: Cumulus Oy Hallinto, address: Hämeentie 19, HELSINKI
Restaurant: C´est La Vie Bar Cafe, address: Tehtaankatu 38, HELSINKI
Restaurant: Dubliner, address: Mannerheimintie 5, HELSINKI
Restaurant: Dubrovnik Lounge & Lobby, address: Eerikinkatu 11, HELSINKI
Restaurant: Elmo Sports & Grill, address: Salomonkatu 17 B, HELSINKI
Restaurant: Erottaja Bar karaokebaari, address: Erottajankatu 15-17, HELSINKI
Restaurant: Fabian, address: Pohjoinen Makasiinikatu 6, HELSINKI
Restaurant: Felt Bay Pub, address: Tilkanvierto 7, HELSINKI
Restaurant: Fino-Bar & Grill, address: Malmin kauppatie 18, HELSINKI
Restaurant: Food Lab, address: Keskuskatu 6, HELSINKI
Restaurant: Funky Kitchen Linnanmäki, address: Tivolikuja 1, HELSINKI
Restaurant: Golden Classics Car Show & Cafe, address: Tyynenmerenkatu 6, HELSINKI
Restaurant: Hakis Pub Gazal, address: Sörnäisten rantatie 10, HELSINKI
Restaurant: Hard Rock Cafe Helsinki, address: Aleksanterinkatu 21, HELSINKI
Restaurant: Hard Rock House, address: Roihuvuorentie 1, HELSINKI
Restaurant: Harry's Bar, address: Vuorimiehenkatu 23 b A 11, HELSINKI
Restaurant: Hartwall Areena Ravintolat, address: Areenankuja 1, HELSINKI
Restaurant: Havis, address: Eteläranta 16, HELSINKI
Restaurant: Helsinki Underground Bar, address: Mikonkatu 13, HELSINKI
Restaurant: Hemingway's Aikatalo Mikonkatu Helsinki, address: Mikonkatu 8, HELSINKI
Restaurant: Hemingway's Hietalahti Helsinki, address: Hietalahdenranta 11, HELSINKI
Restaurant: Hemingway's Itäkeskus Helsinki, address: Turunlinnantie 6, HELSINKI
Restaurant: Henry's Pub, address: Simonkatu 3, HELSINKI
Restaurant: Herkku Haarukka, address: Hämeentie 150, HELSINKI
Restaurant: Hermannin Pizza & Pub, address: Vellamonkatu 10, HELSINKI
Restaurant: Himabaari, address: Kontulankaari 1 B, HELSINKI
Restaurant: Hiutale Bar, address: Annankatu 4, HELSINKI
Restaurant: Hotelli Arkadia, address: Tattarisuontie 1, HELSINKI
Restaurant: Inter Pizza Cafe Helsinki, address: Hämeentie 81-83, HELSINKI
Restaurant: Issukka Jarkko Tmi, address: Väinämöisenkatu 31 B 37, HELSINKI
Restaurant: Itäkeskuksen Uimahallin Kahvila, address: Olavinlinnantie 6, HELSINKI
Restaurant: Jakomäen Baari Oy, address: Louhikkotie 20 c B 135, HELSINKI
Restaurant: Janoinen Lohi, address: Linnankoskenkatu 12, HELSINKI
Restaurant: JoGo Frozen Yogurt Bar, address: Fredrikinkatu 65, HELSINKI
Restaurant: Jone's Karaoke Bar, address: Kaisaniemenkatu 13, HELSINKI
Restaurant: Jorkka & Eija Oy, address: Keskiyöntie 51 A 1, HELSINKI
Restaurant: Kaarna baari & keittiö, address: Mannerheimintie 20, HELSINKI
Restaurant: Kafe Moskova, address: Eerikinkatu 11, HELSINKI
Restaurant: Kahvila Papukaija Peacock-teatteri, address: Tivolikuja 1, HELSINKI
Restaurant: Kahvila Piper, address: Suomenlinna, HELSINKI
Restaurant: Kaisla, address: Vilhonkatu 4, HELSINKI
Restaurant: Kallion B12 Cafe & Bar, address: Vaasankatu 12, HELSINKI
Restaurant: Kallion Mestari, address: Kustaankatu 4, HELSINKI
Restaurant: Kallion Pääkonttori, address: Helsinginkatu 11, HELSINKI
Restaurant: Kallion Seurahuone, address: Fleminginkatu 6, HELSINKI
Restaurant: Kampin Baari Oy, address: Urho Kekkosen katu 1, HELSINKI
Restaurant: Kanava Bar, address: Kanavaranta 7, HELSINKI
Restaurant: Kannel Pub, address: Klaneettitie 7, HELSINKI
Restaurant: Kannel-Krouvi, address: Sitrakuja 4, HELSINKI
Restaurant: Karaoke Bar Anna K, address: Annankatu 23, HELSINKI
Restaurant: Karaoke Bar Pataässä, address: Snellmaninkatu 17, HELSINKI
Restaurant: Karaoke Bar Restroom, address: Tehtaankatu 23 A, HELSINKI
Restaurant: Karaoke Bar Yökyöpeli, address: Fabianinkatu 17, HELSINKI
Restaurant: Karaoke Nightclub Club Swengi, address: Iso Roobertinkatu 10, HELSINKI
Restaurant: Karaokemesta, address: Vanhaistentie 3 B, HELSINKI
Restaurant: Kaski Bistro & Baari, address: Latokartanonkaari 23, HELSINKI
Restaurant: Katajanokan Kasino, address: Laivastokatu 1, HELSINKI
Restaurant: Kaunis Kampela, address: Lauttasaarentie 10, HELSINKI
Restaurant: Keittiö & Baari Juuri, address: Korkeavuorenkatu 27, HELSINKI
Restaurant: KGB-Club Karaoke & Disco, address: Hallituskatu 3, HELSINKI
Restaurant: Kitty's Public House, address: Keskuskatu 6, HELSINKI
Restaurant: Kivikko Cafe Bar, address: Kivikonkaari 39 C, HELSINKI
Restaurant: Kivitorppa, address: Raumantie 1, HELSINKI
Restaurant: Klubiravintola Väylä, address: Eteläreimarintie 9, HELSINKI
Restaurant: Koko Jazz Club, address: Hämeentie 3, HELSINKI
Restaurant: Kombo Winebar & Kitchen, address: Kulmavuorenkatu 4, HELSINKI
Restaurant: Kontu Krouvi, address: Porttikuja 7, HELSINKI
Restaurant: Korjaamon Baari, address: Töölönkatu 51 A-B, HELSINKI
Restaurant: Korjaamon Kahvila, address: Töölönkatu 51 A-B, HELSINKI
Restaurant: Kortteliravintola Lungi, address: Korkeavuorenkatu 2, HELSINKI
Restaurant: Krulla Wiener Kaffeehaus, address: Lönnrotinkatu 13, HELSINKI
Restaurant: Kuikka, address: Helsinginkatu 32, HELSINKI
Restaurant: Kujis Pub, address: Lauttasaarentie 32, HELSINKI
Restaurant: Kulmapotku, address: Roihuvuorentie 28, HELSINKI
Restaurant: Kultapalmu, address: Vaasankatu 4, HELSINKI
Restaurant: Kuparikulma Karaoke Bar, address: Kuparitie 1, HELSINKI
Restaurant: Kuudes linja, address: Hämeentie 13, HELSINKI
Restaurant: König, address: Aleksanterinkatu 46 C, HELSINKI
Restaurant: König restaurant, address: Mikonkatu 4, HELSINKI
Restaurant: Leijuva Lahna, address: Eerikinkatu 14, HELSINKI
Restaurant: Leonardo Bar & Ristorante, address: Kaivokatu 6, HELSINKI
Restaurant: Liberty or Death, address: Mäkelänkatu 2 C c/o Boutique Bars Oy, HELSINKI
Restaurant: Los Cojones, address: Annankatu 15, HELSINKI
Restaurant: M/S Marival II Laivaravintola, address: Hiekkajaalanranta, HELSINKI
Restaurant: Maltainen Riekko, address: Aleksis Kiven Katu 56, HELSINKI
Restaurant: Mamma Rosa, address: Runeberginkatu 55 A, HELSINKI
Restaurant: Mann's Street, address: Mannerheimintie 12 A, HELSINKI
Restaurant: Mardin Pub, address: Mäkelänkatu 15, HELSINKI
Restaurant: Marski Bar & Restaurant, address: Mannerheimintie 10, HELSINKI
Restaurant: Maya Bar & Grill, address: Mikonkatu 18, HELSINKI
Restaurant: Mbar, address: Mannerheimintie 22-24, HELSINKI
Restaurant: Milli Miglia, address: Kalevankatu 36, HELSINKI
Restaurant: Minuuttibaari, address: Rautatieasema, HELSINKI
Restaurant: Molly Malone's Irish Bar, address: Kaisaniemenkatu 1 C, HELSINKI
Restaurant: Morrison's Grill & Green, address: Keskuskatu 7 Ateneuminkuja, HELSINKI
Restaurant: My Way Bar, address: Mäkelänkatu 32, HELSINKI
Restaurant: Mäkikupla Ravintola & Pub, address: Torkkelinkatu 2, HELSINKI
Restaurant: Navy Jerry's Rum Bar, address: Hietaniemenkatu 2, HELSINKI
Restaurant: Night People Oy, address: Iso Puistotie 1, HELSINKI
Restaurant: Norsöline, address: Kalkkihiekantorin laivalaituri, HELSINKI
Restaurant: O'Gelis Bar, address: Torivoudintie 1, HELSINKI
Restaurant: Ohjelmaravintola Malmintori, address: Viljatie 4, HELSINKI
Restaurant: Old Hat, address: Mannerheimintie 3, HELSINKI
Restaurant: Olohuone bar, address: Yliskyläntie 3, HELSINKI
Restaurant: Oluthuone William K., address: Kantelettarentie 1, HELSINKI
Restaurant: Olutravintola Hertsikan Helmi, address: Hitsaajankatu 14, HELSINKI
Restaurant: Olutravintola Jano, address: Mäkitorpantie 11, HELSINKI
Restaurant: Olutravintola Marian Helmi, address: Snellmaninkatu 17, HELSINKI
Restaurant: Olutravintola Nurkka, address: Ratavartijankatu 3, HELSINKI
Restaurant: Olutravintola Oljenkorsi, address: Intiankatu 18, HELSINKI
Restaurant: Olutravintola Pikkulintu, address: Klaavuntie 11, HELSINKI
Restaurant: Olutravintola Solmu, address: Aurinkoranta 8, HELSINKI
Restaurant: Olutravintola Vastarannan Kiiski, address: Runeberginkatu 26, HELSINKI
Restaurant: Olympix bar & cafe, address: Mäntymäki 2, HELSINKI
Restaurant: One Pint Pub, address: Santakatu 2, HELSINKI
Restaurant: Ooster Olut- ja viinihuone, address: Helsingin rautatieasema, länsisiipi, HELSINKI
Restaurant: Osakuntabaari, address: Urho Kekkosen katu 4-6 D, HELSINKI
Restaurant: Panimoravintola Bruuveri, address: Fredrikinkatu 63 ab, HELSINKI
Restaurant: Papa Albert Ristorante & Bar, address: Albertinkatu 30, HELSINKI
Restaurant: Paris Pub, address: Keinulaudankuja 4, HELSINKI
Restaurant: Parnell's Olympia, address: Läntinen Brahenkatu 2, HELSINKI
Restaurant: Pickwick Kaivokatu, address: Kaivokatu 10, HELSINKI
Restaurant: Pikkubaari, address: Huopalahdentie 13, HELSINKI
Restaurant: Pivnice Hostina, address: Annankatu 27, HELSINKI
Restaurant: Pivnice Hádanka, address: Mannerheimintie 104, HELSINKI
Restaurant: Pivnice Milenka, address: Haapaniemenkatu 5, HELSINKI
Restaurant: Pivnice Poseidon, address: Kruunuvuorenkatu 1, HELSINKI
Restaurant: Pizzeria Foxy Bear, address: Kettutie 2, HELSINKI
Restaurant: Porvoonkadun Baari, address: Porvoonkatu 19, HELSINKI
Restaurant: Praha, address: Mannerheimintie 5, HELSINKI
Restaurant: Pressa, address: Eteläinen Rautatiekatu 4, HELSINKI
Restaurant: PRKL Club, address: Kaisaniemenkatu 4, HELSINKI
Restaurant: Pub & Music club Tillikka, address: Latokartanontie 5, HELSINKI
Restaurant: Pub 94, address: Ostostie 4, HELSINKI
Restaurant: Pub 99, address: Mannerheimintie 58, HELSINKI
Restaurant: Pub Aleksis K, address: Aleksis Kiven katu 14, HELSINKI
Restaurant: Pub Cafe Notre Dame, address: Itämerenkatu 14, HELSINKI
Restaurant: Pub Cheers, address: Mustalahdentie 4, HELSINKI
Restaurant: Pub Fairytale, address: Helsinginkatu 7, HELSINKI
Restaurant: Pub Fidel, address: Mannerheimintie 50, HELSINKI
Restaurant: Pub Gaselli, address: Aleksanterinkatu 46, HELSINKI
Restaurant: Pub Heinähattu, address: Vaasankatu 23, HELSINKI
Restaurant: Pub Ikkuna, address: Salomonkatu 4, HELSINKI
Restaurant: Pub Istuva Härkä, address: Eskolantie 1, HELSINKI
Restaurant: Pub Itämeren Helmi, address: Itämerenkatu 12, HELSINKI
Restaurant: Pub Jakkis, address: Huokotie 1, HELSINKI
Restaurant: Pub Janoinen Puhveli, address: Teuvo Pakkalan tie 5, HELSINKI
Restaurant: Pub Kasin Kulma, address: Sturenkatu 49, HELSINKI
Restaurant: Pub Keskipiste, address: Näyttelijäntie 14, HELSINKI
Restaurant: Pub Magneetti Vallila, address: Mäkelänkatu 20 B, HELSINKI
Restaurant: Pub Maria, address: Päivöläntie 24, HELSINKI
Restaurant: Pub Merikarhu, address: Ostostie 4, HELSINKI
Restaurant: Pub Merimies, address: Merimiehenkatu 27, HELSINKI
Restaurant: Pub Nellu, address: Ratapihantie 6, HELSINKI
Restaurant: Pub Olut Pankki, address: Kastelholmantie 2, HELSINKI
Restaurant: Pub Pete, address: Hietaniemenkatu 7, HELSINKI
Restaurant: Pub Pizzeria Ulappasilta, address: Tyynylaavankuja 3 D, HELSINKI
Restaurant: Pub Porthan, address: Porthaninkatu 10, HELSINKI
Restaurant: Pub Pressapari, address: Wallininkatu 10, HELSINKI
Restaurant: Pub Päätön Kana, address: Pohjolankatu 2, HELSINKI
Restaurant: Pub Ravintola Taz, address: Aleksis Kiven katu 40, HELSINKI
Restaurant: Pub Sirdie, address: Kolmas linja 21, HELSINKI
Restaurant: Pub Vapaasatama, address: Merisotilaantori 1, HELSINKI
Restaurant: Pub Wanha Kettu, address: Malminkatu 22, HELSINKI
Restaurant: Pub Yy Kaa Koo, address: Leiviskäpolku 4, HELSINKI
Restaurant: Public Corner Mikonkatu, address: Mikonkatu 15, HELSINKI
Restaurant: Pulmu-baari, address: Fleminginkatu 13, HELSINKI
Restaurant: Punavuoren Ahven, address: Punavuorenkatu 12, HELSINKI
Restaurant: Puotin Krouvi, address: Kastelholmantie 2, HELSINKI
Restaurant: Pure Bistro, address: Pohjoisesplanadi 9, HELSINKI
Restaurant: Pääsky Pub, address: Pääskylänrinne 2, HELSINKI
Restaurant: Päätypub, address: Kankaretie 11 A, HELSINKI
Restaurant: Raffaello, address: Aleksanterinkatu 46, HELSINKI
Restaurant: Ravintola A-Hana, address: Palokoukunkuja 4, HELSINKI
Restaurant: Ravintola Alakerta, address: Telakkakatu 8, HELSINKI
Restaurant: Ravintola Amigo, address: Tehtaankatu 12, HELSINKI
Restaurant: Ravintola Arizona, address: Castréninkatu 7, HELSINKI
Restaurant: Ravintola Baker's, address: Mannerheimintie 12, HELSINKI
Restaurant: Ravintola Bar Socis, address: Kaivokatu 12, HELSINKI
Restaurant: Ravintola Barts, address: Pakilantie 11, HELSINKI
Restaurant: Ravintola Basti's, address: Alvar Aallon katu 3, HELSINKI
Restaurant: Ravintola Beefy Queen Jambo, address: Pieni Roobertinkatu 13, HELSINKI
Restaurant: Ravintola Black Bird, address: Turunlinnantie 8, HELSINKI
Restaurant: Ravintola Blue Corner, address: Svinhufvudintie 1, HELSINKI
Restaurant: Ravintola Boothill, address: Lönnrotinkatu 25, HELSINKI
Restaurant: Ravintola Britannia, address: Vanhaistentie 1, HELSINKI
Restaurant: Ravintola Bullman, address: Fleminginkatu 21 B, HELSINKI
Restaurant: Ravintola Bumerang, address: Jakomäentie 24, HELSINKI
Restaurant: Ravintola Café Carusel, address: Merisatamanranta 10, HELSINKI
Restaurant: Ravintola Carelia, address: Mannerheimintie 56, HELSINKI
Restaurant: Ravintola Casa Mare, address: Gyldenintie 6, HELSINKI
Restaurant: Ravintola Cella, address: Fleminginkatu 15, HELSINKI
Restaurant: Ravintola Cin Cin, address: Pekankatu 5, HELSINKI
Restaurant: Ravintola Danphe, address: Sturenkatu 32-34, HELSINKI
Restaurant: Ravintola Dogtori, address: Sompiontori 1, HELSINKI
Restaurant: Ravintola Domino, address: Ajurinaukio 5, HELSINKI
Restaurant: Ravintola East-West, address: Opastinsilta 6, HELSINKI
Restaurant: Ravintola Eerikinkulma, address: Eerikinkatu 28, HELSINKI
Restaurant: Ravintola Eliel, address: Rautatieasema, HELSINKI
Restaurant: Ravintola Elite, address: Eteläinen Hesperiankatu 22, HELSINKI
Restaurant: Ravintola Erätupa, address: Hiihtomäentie 38, HELSINKI
Restaurant: Ravintola Fantasy Club, address: Visbynkuja 2, HELSINKI
Restaurant: Ravintola Fransmanni, address: Kluuvikatu 8, HELSINKI
Restaurant: Ravintola Fregatti, address: Valkopaadentie 1, HELSINKI
Restaurant: Ravintola Frendi, address: Vanha Viertotie 10, HELSINKI
Restaurant: Ravintola Golden Star Café Hartwall Areena, address: Areenankuja 1, HELSINKI
Restaurant: Ravintola Grande Grill, address: Aleksanterinkatu 15 B, HELSINKI
Restaurant: Ravintola Graniittilinna, address: Säästöpankinranta 6, HELSINKI
Restaurant: Ravintola Heinähattu Pub, address: Vaasankatu 23, HELSINKI
Restaurant: Ravintola Hermannin Kukko, address: Hämeentie 81-83, HELSINKI
Restaurant: Ravintola Hilpeä Hauki, address: Vaasankatu 7, HELSINKI
Restaurant: Ravintola HSS Boathouse (kesäravintola), address: Liuskasaari, HELSINKI
Restaurant: Ravintola Huvipursi, address: Pursimiehenkatu 27, HELSINKI
Restaurant: Ravintola Idän Piste, address: Turunlinnantie 14, HELSINKI
Restaurant: Ravintola Il Treno, address: Pallaksentie 4, HELSINKI
Restaurant: Ravintola Iltakoulu, address: Vaasankatu 5, HELSINKI
Restaurant: Ravintola India Tandoor, address: Salomonkatu 19, HELSINKI
Restaurant: Ravintola Juttutupa, address: Säästöpankinranta 6, HELSINKI
Restaurant: Ravintola Kaivohuone, address: Iso Puistotie 1, HELSINKI
Restaurant: Ravintola Kalevan Krouvi, address: Kalevankatu 51, HELSINKI
Restaurant: Ravintola Kappeli, address: Eteläesplanadi 1, HELSINKI
Restaurant: Ravintola Kapteenin Kajuutta, address: Koulutanhua 6, HELSINKI
Restaurant: Ravintola Karhuministeri, address: Mannerheimintie 51, HELSINKI
Restaurant: Ravintola Karljohan, address: Yrjönkatu 21, HELSINKI
Restaurant: Ravintola Kartanon Kievari, address: Malminkartanonaukio 4, HELSINKI
Restaurant: Ravintola Katajanmarja, address: Linnankatu 9, HELSINKI
Restaurant: Ravintola Kellarikrouvi, address: Pohjoinen Makasiinikatu 6, HELSINKI
Restaurant: Ravintola Kokomo Tikibar & Room, address: Uudenmaankatu 16-20 B, HELSINKI
Restaurant: Ravintola Kolmas Linja, address: Kolmas linja 6, HELSINKI
Restaurant: Ravintola Kolme Kaisaa, address: Hämeentie 29, HELSINKI
Restaurant: Ravintola Konja, address: Torikatu 4, HELSINKI
Restaurant: Ravintola Kulosaaren Casino, address: Hopeasalmenpolku 1, HELSINKI
Restaurant: Ravintola Kummisetä, address: Kastelholmantie 2, HELSINKI
Restaurant: Ravintola Kuparilyhty, address: Svinhufvudintie 1, HELSINKI
Restaurant: Ravintola Kurjenlento, address: Fleminginkatu 11, HELSINKI
Restaurant: Ravintola Kurvitar, address: Hämeentie 58-60, HELSINKI
Restaurant: Ravintola Kustaa Vaasa, address: Vaasankatu 10, HELSINKI
Restaurant: Ravintola Kuu, address: Töölönkatu 27, HELSINKI
Restaurant: Ravintola Kuudes Linja, address: Hämeentie 13, HELSINKI
Restaurant: Ravintola Käpygrilli, address: Osmontie 5, HELSINKI
Restaurant: Ravintola Laiska Karhu, address: Mechelininkatu 25, HELSINKI
Restaurant: Ravintola Las Vegas, address: Viides linja 8, HELSINKI
Restaurant: Ravintola Lasipalatsi, address: Mannerheimintie 22-24, HELSINKI
Restaurant: Ravintola Lastu, address: Mannerheimintie 46, HELSINKI
Restaurant: Ravintola Lepakkomies, address: Helsinginkatu 1, HELSINKI
Restaurant: Ravintola Linnanhenki, address: Linnanrakentajantie 7, HELSINKI
Restaurant: Ravintola Lobby Bar, address: Elielinaukio 5, HELSINKI
Restaurant: Ravintola Loiste, address: Kaivokatu 3 A, HELSINKI
Restaurant: Ravintola Luft, address: Aleksis Kiven katu 30, HELSINKI
Restaurant: Ravintola Lyon, address: Mannerheimintie 56, HELSINKI
Restaurant: Ravintola Lysti, address: Vattuniemenkatu 12, HELSINKI
Restaurant: Ravintola Lähde, address: Salpausseläntie 11, HELSINKI
Restaurant: Ravintola Main Street Helsingin Jäähalli, address: Nordenskiöldinkatu 11-13, HELSINKI
Restaurant: Ravintola Makasiini Restaurant &Bar, address: Katajanokanlaituri 7, HELSINKI
Restaurant: Ravintola Manala, address: Museokatu 10, HELSINKI
Restaurant: Ravintola Meri Pub, address: Haapaniemenkatu 14 A, HELSINKI
Restaurant: Ravintola Meritähti, address: Itämerenkatu 14, HELSINKI
Restaurant: Ravintola Mestarikilta, address: Rahakamarinportti 3, HELSINKI
Restaurant: Ravintola Mestaritalli, address: Merikannontie 2, HELSINKI
Restaurant: Ravintola Mexi, address: Mannerheimintie 53, HELSINKI
Restaurant: Ravintola Miami, address: Yrttimaantie 26, HELSINKI
Restaurant: Ravintola Minos, address: Urho Kekkosen katu 1 A, HELSINKI
Restaurant: Ravintola Moon Light, address: 3. linja 6, HELSINKI
Restaurant: Ravintola Morris, address: Hämeentie 10, HELSINKI
Restaurant: Ravintola Musta Härkä, address: Mäkelänkatu 52, HELSINKI
Restaurant: Ravintola Muusan Krouvi, address: Muusantori 5, HELSINKI
Restaurant: Ravintola New Parkstad, address: Puistolantori 6, HELSINKI
Restaurant: Ravintola NJK, address: Valkosaari, HELSINKI
