Restaurant: 1-Jaskan Grilli, address: Dagmarinkatu -, 00100 Helsinki
Restaurant: Cafe Yrjö, address: Yrjönkatu 21 B, 00100 Helsinki
Restaurant: Cafetoria Roastery, address: Runeberginkatu 31, 00100 Helsinki
Restaurant: Caffe Nonna, address: Tehtaankatu 25, 00150 Helsinki
Restaurant: Cafè A Snellman, address: Vanha Kauppahalli, Eteläranta 1, 00130 Helsinki
Restaurant: Café Adjutant, address: Seurasaarentie 15, 00250 Helsinki
Restaurant: Café Amos, address: Yrjönkatu 27, 00100 Helsinki
Restaurant: Café Argos, address: Aleksanterinkatu 52, 00100 Helsinki
Restaurant: Café Balzac, address: Iso Roobertinkatu 3-5, 00120 Helsinki
Restaurant: Café Cardemumma, address: Kaarlenkatu 15 LH 99, 00530 Helsinki
Restaurant: Café Cavalier, address: Malminrinne 2-4, 00100 Helsinki
Restaurant: Café Chapman, address: Suomenlinna B 1, 00190 Helsinki
Restaurant: Café Corelli, address: Ruosilankuja 3 A, 00390 Helsinki
Restaurant: Café Culma, address: Töölönkatu 1, 00100 Helsinki
Restaurant: Café Delivo, address: Munkkiniemen Puistotie 17, 00330 Helsinki
Restaurant: Café Esplanad, address: Pohjoisesplanadi 37, 00100 Helsinki
Restaurant: Café Koti, address: Laajalahdentie 11, 00330 Helsinki
Restaurant: Café Lasipalatsi, address: Mannerheimintie 22-24, 00100 Helsinki
Restaurant: Café Picnic Yliopistonkatu 5, address: Yliopistonkatu 5, 00100 Helsinki
Restaurant: Café Red, address: Arkadiankatu 19, 00100 Helsinki
Restaurant: Café Rouge, address: Urho Kekkosen katu 4-6, 00100 Helsinki
Restaurant: Café Stockmannin kulma, address: Mannerheimintie, 00100 Helsinki
Restaurant: Café Strindberg, address: Pohjoisesplanadi 33, 00100 Helsinki
Restaurant: Café Succès, address: Korkeavuorenkatu 2, 00140 Helsinki
Restaurant: Café Tin Tin Tango, address: Töölöntorinkatu 7, 00260 Helsinki
Restaurant: Café Trocadero, address: Uudenmaankatu 2, 00120 Helsinki
Restaurant: Café Truffel, address: Sibeliuksenkatu 5, 00250 Helsinki
Restaurant: Café Vanille, address: Suomenlinna C 18, 00190 Helsinki
Restaurant: Café Veganissimo, address: Kulmavuorenkatu 2, 00500 Helsinki
Restaurant: Café Veranda, address: Mannerheimintie 13 e, 00100 Helsinki
Restaurant: Café-Pizzeria Ulpiana, address: Mäkelänkatu 45, 00550 Helsinki
Restaurant: Cale-Cafe, address: Lapinlahdenkatu 21, 00180 Helsinki
Restaurant: Carelia, address: Mannerheimintie 56, 00260 Helsinki
Restaurant: Caruzello, address: Tivolikuja 1, 00510 Helsinki
Restaurant: Casa Largo, address: Asema-Aukio 2, 00100 Helsinki
Restaurant: Casino Helsinki / Casino Piazza, address: Mikonkatu 19, 00100 Helsinki
Restaurant: Cella, address: Fleminginkatu 15, 00500 Helsinki
Restaurant: Central, address: Pietarinkatu 15, 00140 Helsinki
Restaurant: Chai Wan Teehuone, address: Aleksanterinkatu 28, 00180 Helsinki
Restaurant: Chef & Sommelier, address: Huvilakatu 28, 00150 Helsinki
Restaurant: Cheng Du, address: Porvoonkatu 16, 00510 Helsinki
Restaurant: Chico's Arabia, address: Hämeentie 109-111, 00550 Helsinki
Restaurant: Chico's Bulevardi, address: Hietalahdenranta 5 C, 00120 Helsinki
Restaurant: Chico's Kallio, address: Porthaninkatu 4, 00530 Helsinki
Restaurant: Chico's Töölö, address: Mannerheimintie 68, 00260 Helsinki
Restaurant: Chico's Viikki, address: Viikintori 3, 00790 Helsinki
Restaurant: Chico's Vuosaari, address: Vuotie 45, 00980 Helsinki
Restaurant: Chilitos, address: Kantelettarentie 1, 00420 Helsinki
Restaurant: Chilli Asematunneli, address: Asematunneli, 00100 Helsinki
Restaurant: Chilli Keskuskatu 6, address: Keskuskatu 6, 00100 Helsinki
Restaurant: Chilli Mikonkatu, address: Mikonkatu 8, 00100 Helsinki
Restaurant: Chilli Siltasaarenkatu 11, address: Siltasaarenkatu 11, 00530 Helsinki
Restaurant: China Flavor, address: Hämeentie 109-111, 00550 Helsinki
Restaurant: China Gate, address: Runeberginkatu 63 B, 00260 Helsinki
Restaurant: China Inn, address: Hämeentie 101, 00550 Helsinki
Restaurant: Chinaman, address: Päivöläntie 21, 00730 Helsinki
Restaurant: Chjoko, address: Liisankatu 9, 00170 Helsinki
Restaurant: Ciao Caffe, address: Itämerenkatu 21, 00180 Helsinki
Restaurant: Ciao! Caffe (Forum), address: Mannerheimintie 20 B, 00100 Helsinki
Restaurant: Ciao! Caffe (Itäkeskus), address: Itäkatu 1, Itäkeskus, Bulevardi, 2.krs, 00930 Helsinki
Restaurant: Ciao! Caffe (Kiseleffin talo), address: Aleksanterinkatu 28, 00170 Helsinki
Restaurant: Ciao!Caffe, Columbus, address: Vuotie 45, 00980 Helsinki
Restaurant: City China, address: Vuorikatu 14, 00100 Helsinki
Restaurant: City Kebab, address: Vaasankatu 19, 00500 Helsinki
Restaurant: City Pizza Kebab, address: Takkatie 7, 00380 Helsinki
Restaurant: Classic Cafe, address: Ratavartijankatu 3, 00520 Helsinki
Restaurant: Classic Hollywood Restaurant, address: Torikatu 3, 00700 Helsinki
Restaurant: Classic Pizza Helsinki Stockmann, address: Aleksanterinkatu 52, 00170 Helsinki
Restaurant: Classic Pizza Itäkeskus, address: Itäkatu 1-7, 00930 Helsinki
Restaurant: Classic Pizza Restaurant Itäkeskus, address: Itäkatu 1-7 (Kauppakeskus, Bulevardi 1), 00930 Helsinki
Restaurant: Classic Pizza Stockmann, address: Aleksanterinkatu 52, 00100 Helsinki
Restaurant: Club Aussie Bar, address: Vilhonkatu 6, 00100 Helsinki
Restaurant: Coccola, address: Tivolikuja 1, Linnanmäki, 00510 Helsinki
Restaurant: CocoVi Bar, address: Salomonkatu 5, 00100 Helsinki
Restaurant: Coffee Bar, address: Siltasaarenkatu 8-10, 00530 Helsinki
Restaurant: Coffee Bean Helsinki, address: Elimäenkatu 9, 00510 Helsinki
Restaurant: Coffee House, address: Asema-aukio 2, 00100 Helsinki
Restaurant: Coffee House Citykäytävä, address: Keskuskatu 6, 00100 Helsinki
Restaurant: Coffee House Hakaniemi Sokos, address: Siltasaarenkatu 8-10, 00530 Helsinki
Restaurant: Coffee House Kannelmäki, address: Kantelettarentie 1, 00420 Helsinki
Restaurant: Coffee House Ässäkeskus, address: Fleminginkatu 34, 00510 Helsinki
Restaurant: Com Viet, address: Klaavuntie 11, 00910 Helsinki
Restaurant: Coma, address: Museokatu 18, 00100 Helsinki
Restaurant: Copas y Tapas, address: Fabianinkatu 16, 00100 Helsinki
Restaurant: Corona Baari & Biljardi, address: Eerikinkatu 11, 00100 Helsinki
Restaurant: Cumulus Hakaniemi, address: Siltasaarenkatu 14, 00530 Helsinki
Restaurant: Da Vinci (Lasipalatsi), address: Mannerheimintie 22-24, 00100 Helsinki
Restaurant: Dalin Express Pizzeria, address: Ratapihantie 3 c, 00520 Helsinki
Restaurant: Danphe, address: Sturenkatu 32-34, 00550 Helsinki
Restaurant: Dansan Deli, address: Vattuniemenkatu 13, 00210 Helsinki
Restaurant: Daruma, address: Kampinkuja 2 C, 00100 Helsinki
Restaurant: Day and Nite, address: Pohjoinen Makasiinikatu 7, 01300 Helsinki
Restaurant: DaYou Life restaurant, address: Itälahdenkatu 20, 00210 Helsinki
Restaurant: Dedos Pizza & Kebab, address: Kaisaniemenkatu 4, 00100 Helsinki
Restaurant: Del Mar Herttoniemenranta, address: Neitojenpolku 21, 00810 Helsinki
Restaurant: Deli Café Maya, address: Punavuorenkatu 3, 00120 Helsinki
Restaurant: Deli Mechelininkatu ABC, address: Mechelininkatu 5, Helsinki, 00100 Helsinki
Restaurant: Deli Tuomarinkylä Helsinki, address: Yhdyskunnantie 74, 00680 Helsinki
Restaurant: Delish, address: Iso Roobertinkatu 2, 00120 Helsinki
Restaurant: Demo, address: Uudenmaankatu 9-11, 00120 Helsinki
Restaurant: Dersim Pizzeria, address: Antinkatu 2, 00100 Helsinki
Restaurant: Dilber Pizzeria, address: Riihipellonkuja 3, 00390 Helsinki
Restaurant: Dinner in the Sky LIVE 4.-9.6.2013, address: Rautatientori, 00100 Helsinki
Restaurant: Doi Thai, address: Meritullinkatu 5 B, 00170 Helsinki
Restaurant: Domino, address: Ajurinaukio 5, 00750 Helsinki
Restaurant: Domo, address: Kalevankatu 21, 00100 Helsinki
Restaurant: Domus, address: Hietaniemenkatu 14, 00100 Helsinki
Restaurant: Don Angelo, address: Kaapeliaukio 1, 00180 Helsinki
Restaurant: Don Corleone, address: Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Donghai, address: Kajaaninkatu 2, 00510 Helsinki
Restaurant: Dorocis Cafe, address: Ristipellontie 21, 00390 Helsinki
Restaurant: Dragon and Phoenix, address: Pohjoinen Makasiinikatu 1, 00130 Helsinki
Restaurant: Dragon Glory, address: Tallinnanaukio 1 B, 00930 Helsinki
Restaurant: Dragon Spring, address: Urho Kekkosen katu 4-6, 00100 Helsinki
Restaurant: Dylan, address: Hämeentie 153B, 00560 Helsinki
Restaurant: Dylan Kottby, address: Mäkitorpantie 3, 00620 Helsinki
Restaurant: Dylan Milk, address: Porkkalankatu 5, 00180 Helsinki
Restaurant: Dylan Pink, address: Kornetintie 3, 00380 Helsinki
Restaurant: Dynasty, address: Kalevankatu 23, 00100 Helsinki
Restaurant: Döner Harju, address: Fleminginkatu 23, 00500 Helsinki
Restaurant: E.K. Fast Food, address: Eerikinkatu 28, 00180 Helsinki
Restaurant: E2 Cafe, address: Eerikinkatu 12, 00100 Helsinki
Restaurant: East Asia Restaurant, address: Abraham Wetterin tie 6, 00810 Helsinki
Restaurant: East Food Corner, address: Vuotie 3, 00980 Helsinki
Restaurant: East Food Corner Kontula, address: Kurkimäentie 17, 00700 Helsinki
Restaurant: East Memo, address: Pasilankatu 8, 00240 Helsinki
Restaurant: Eduskuntaravintola, address: Mannerheimintie 30, 00102 Eduskunta
Restaurant: Eerikin Pippuri, address: Eerikinkatu 17, 00100 Helsinki
Restaurant: Eerikin Pippuri Forum, address: Mannerheimintie 20, Forum, pohjakerros, 00100 Helsinki
Restaurant: Eeron Keittiö, address: Vuorimiehenkatu 18, 00140 Helsinki
Restaurant: Ehon tehtaanmyymälä, address: Lämmittäjänkuja 2, 00880 Helsinki
Restaurant: Eira-Plaza, address: Jääkärinkatu 15, 00150 Helsinki
Restaurant: El Karim, address: Koskelantie 52, 00610 Helsinki
Restaurant: Elite, address: Eteläinen Hesperiankatu 22, 00100 Helsinki
Restaurant: Elmeri Pizzeria, address: Paasivuorenkatu 1, 00530 Helsinki
Restaurant: Elmo Sports & Grill, address: Salomonkatu 17, 00100 Helsinki
Restaurant: Enis Pizzeria & Kebab, address: Väärämäentie 3, 00700 Helsinki
Restaurant: Enter Kaffe Kisahalli, address: Paavo Nurmen Kuja 1, 00250 Helsinki
Restaurant: Espresso Edge, address: Liisankatu 29, 00170 Helsinki
Restaurant: Espressobaari Mannerheimintie 6, address: Mannerheimintie 6, 00100 Helsinki
Restaurant: Europizzeria, address: Päivöläntie 24, 00730 Helsinki
Restaurant: Everest, address: Elimäenkatu 20 A, 00510 Helsinki
Restaurant: Evin, address: Ajurinaukio 5, 00750 Helsinki
Restaurant: Eväs leipä, address: Opastinsilta 12, 00520 Helsinki
Restaurant: Explorer, address: Tammasaarenkatu 1-5, 00180 Helsinki
Restaurant: Express China, address: Sörnäisten Rantatie 8, 00530 Helsinki
Restaurant: F8 Café, Stockmann 8. krs, address: Aleksanterinkatu 52, 00100 Helsinki
Restaurant: F8 Tema, Stockmann 8. krs, address: Stockmannin tavaratalo, 8 krs., Aleksanterinkatu 52, 00100 Helsinki
Restaurant: F8-ravintolamaailma, Stockmann 8. krs, address: Aleksanterinkatu 52, 00100 Helsinki
Restaurant: Factory Herttoniemi, address: hitsaajankatu 9 3krs,, 00810 Helsinki
Restaurant: Factory-Aleksi, address: aleksanterinkatu 13, 00100 Helsinki
Restaurant: Factory-Pitäjänmäki, address: Valimotie 13, 00380 Helsinki
Restaurant: Factory-Vallila, address: Kumpulantie 3, 00520 Helsinki
Restaurant: Fafa's Isoroba, address: Iso Roobertinkatu 2, 00120 Helsinki
Restaurant: Fafa's Kamppi, address: Pohjoinen Rautatiekatu 21, 00100 Helsinki
Restaurant: Fafa's Sörkka, address: Vilhonvuorenkatu 10, 00500 Helsinki
Restaurant: Falafel Kebab, address: Caloniuksenkatu 2, 00100 Helsinki
Restaurant: Fanny Goes to Hollywood, address: Bulevardi 40, 00120 Helsinki
Restaurant: Farang, address: Ainonkatu 3, 00100 Helsinki
Restaurant: Farouge, address: Yrjönkatu 6, 00120 Helsinki
Restaurant: Fat Mamas, address: Meripellontie 11, 00910 Helsinki
Restaurant: Fattoush, address: Eerikinkatu 9, 00100 Helsinki
Restaurant: Fazer Café Citycenter, address: Kaivokatu 8, 00100 Helsinki
Restaurant: Fazer Café Forum, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Fazer Café Munkkivuori, address: Raumantie 1, 00350 Helsinki
Restaurant: Fazer Ravintola Alma Media, address: Alvar Aallon tie 3, 00100 Helsinki
Restaurant: Fills Kitchen & Bar, address: Mikonkatu 19, 00100 Helsinki
Restaurant: Fin Pizzeria, address: Soidintie 8, 00700 Helsinki
Restaurant: Finn Pizza, address: Varhelantie 3, 00970 Helsinki
Restaurant: Fino Bar & Grill, address: Malmin kauppatie 18, 00700 Helsinki
Restaurant: FishMarket, address: Pohjoisesplanadi 17, 00170 Helsinki
Restaurant: FLQ, address: Tallinnanaukio 4, 00930 Helsinki
Restaurant: Flying Dutch, address: pitkänsillanranta 2, 00530 Helsinki
Restaurant: Flying Dutch / Pikku Dami, address: Pitkänsillanranta, 00530 Helsinki
Restaurant: Fokka Holiday Inn, address: Sulhasenkuja 3, 00180 Helsinki
Restaurant: Folkhälsan Senioritalon ravintola, address: Mannerheimintie 97, 00280 Helsinki
Restaurant: Food Spot, address: Mikonkatu 8, 00100 Helsinki
Restaurant: Four Seasons Salads & Delicatesses, address: Kapteeninkatu 24, 00140 Helsinki
Restaurant: Foxy Bear, address: Kettutie 2, 00800 Helsinki
Restaurant: Fransmanni Kluuvikatu, address: Kluuvikatu 8, 00100 Helsinki
Restaurant: Fratello Torrefazione, address: Yliopistonkatu 6, 00100 Helsinki
Restaurant: Freese Coffee Co., address: Freesenkatu 5, 00100 Helsinki
Restaurant: Frutti di Mare, address: Porvoonkatu 23, 00510 Helsinki
Restaurant: Fu Shun Lou, address: asiakkaankatu 11, 00930 Helsinki
Restaurant: Fubuki Sushi, address: Pursimiehenkatu 8, 00150 Helsinki
Restaurant: Fuku, address: Fredrikinkatu 36, 00100 Helsinki
Restaurant: Fulbari, address: Munkkisaarenkatu 6, 00150 Helsinki
Restaurant: Full House, address: Runeberginkatu 34, 00260 Helsinki
Restaurant: Funky Kitchen, address: Tivolikuja 1, 00510 Helsinki
Restaurant: G.W.Sundmans, address: Eteläranta 16, 00130 Helsinki
Restaurant: Gaijin, address: Bulevardi 6, 00120 Helsinki
Restaurant: Galleria Keidas - common table Kallio, address: Fleminginkatu 7, 00530 Helsinki
Restaurant: Galleria-ravintola Wellamo, address: Laivastokatu 18, 00160 Helsinki
Restaurant: Gandi, address: Toivonkatu 1-3, 00250 Helsinki
Restaurant: Garam & Vermiglio Catering (Pasilan Urheiluhallin Lounas), address: Radiokatu 22, 00240 Helsinki
Restaurant: Gastone, address: Korkeavuorenkatu 45, 00130 Helsinki
Restaurant: Gastrobar Emo, address: Kasarmikatu 44, 00130 Helsinki
