Restaurant: 1-Jaskan Grilli, address: Dagmarinkatu -, 00100 Helsinki
Restaurant: Alcatraz Club, address: Eerikinkatu 3, HELSINKI
Restaurant: Ale-Pub, address: Mannerheimintie 5, Helsinki
Restaurant: Ale-Pub Kaivopiha, address: Mannerheimintie 5, HELSINKI
Restaurant: ALiShan, address: Läkkisepäntie 14, 00620 Helsinki
Restaurant: Allastekno, address: Lauttasaarentie 54 A, Helsinki
Restaurant: Alley Tech, address: Vattuniemenkatu 6 B 17, Helsinki
Restaurant: Allotria, address: Hämeentie 68, 00550 Helsinki
Restaurant: ALONSO OY, address: Testikatu 100, HELSINKI
Restaurant: AlppiTori, address: 
Restaurant: Amanda Bar & Bistro, address: Eteläesplanadi 2, 00130 Helsinki
Restaurant: Amanta Bar & Cafe, address: Eteläesplanadi 2, Helsinki
Restaurant: Amarillo Mikonkatu, address: Mikonkatu 9, 00100 Helsinki
Restaurant: American Bar, address: Kalevankatu 5, HELSINKI
Restaurant: Americana, address: Siltasaarenkatu 11, 00530 Helsinki
Restaurant: Amica Akavatalo, address: Rautatieläisenkatu 6, 00520 Helsinki
Restaurant: Amica Arcada, address: Jan-Magnus Janssonin Aukio 1, 00550 Helsinki
Restaurant: Amica Hanken, address: Arkadiankatu 22, 00100 Helsinki
Restaurant: Amica Insinöörit & Ekonomit, address: Ratavartijankatu 2, 00520 Helsinki
Restaurant: Amica Itämeri, address: Itämerenkatu 3, 00180 Helsinki
Restaurant: Amica Maistraatinportti, address: Maistraatinportti 2, 00240 Helsinki
Restaurant: Amica Mustajuuri, address: Asemamiehenkatu 2, 00520 Helsinki
Restaurant: Amica Salmisaari, address: Salmisaarenaukio 1, 00180 Helsinki
Restaurant: Amigo, address: Tehtaankatu 12, 00140 Helsinki
Restaurant: Amigo Bar, address: Tehtaankatu 12, Helsinki
Restaurant: Amigo Pizzeria, address: Maatullinaukio, 00750 Helsinki
Restaurant: Amsterdam, address: Itämerenkuja 1 C, 00180 Helsinki
Restaurant: Angleterre, address: Fredrikinkatu 47, HELSINKI
Restaurant: Angora (Capris), address: Kustaankatu 2, 00500 Helsinki
Restaurant: Angry Duck, address: Vanha Hämeenkyläntie 9, 00390 Helsinki
Restaurant: Ani, address: Telakkakatu 2, 00150 Helsinki
Restaurant: Anna K, address: Annankatu 23, Helsinki
Restaurant: Annapurna, address: Fredrikinkatu 23, 00120 Helsinki
Restaurant: Anniskeluravintola Roska, address: Eerikinkatu 11, HELSINKI
Restaurant: Antell Itämerentori, address: Itämerenkatu 15, 00180 Helsinki
Restaurant: Antell Tornado, address: Erik Palmenin aukio, 00560 Helsinki
Restaurant: Antell-ravintola Vallilan Akseli, address: Lemuntie 3-5, 00510 Helsinki
Restaurant: Anthem, address: Isonmastontie 17 A 1, Helsinki
Restaurant: Antin Kaffeliiteri, address: Antin aukio Seurasaari, 00250 Helsinki
Restaurant: Antiokia Atabar, address: Eerikinkatu 44, 00180 Helsinki
Restaurant: Antti Routto Tmi, address: Siltasaarenkatu 15, Helsinki
Restaurant: Apollo Café, address: Mannerheimintie 16, HELSINKI
Restaurant: Apollo Live Club, address: Mannerheimintie 16, HELSINKI
Restaurant: April Jazz, address: Ahertajantie 6 b, Espoo
Restaurant: Arctic Icebar, address: Yliopistonkatu 5, Helsinki
Restaurant: Arena Center Hakaniemi, address: Sörnäisten rantatie 6, 00530 Helsinki
Restaurant: Arena Center Ruskeasuo, address: Nauvontie 3, 00280 Helsinki
Restaurant: Arizona, address: Castréninkatu 7, Helsinki
Restaurant: Arkadia Productions, address: Pihlajatie 6 A 12, Helsinki
Restaurant: Arkadian Kebab, address: Tattarisuontie 1, HELSINKI
Restaurant: Arkkikaarto, address: Liisankatu 17 C 21, Helsinki
Restaurant: Armas Pikaruokala, address: Aleksanterinkatu 9, 00100 Helsinki
Restaurant: Arnolds Bakery & Coffee Shop City-Center, address: Kaivokatu 8, Asematunneli, 00100 Helsinki
Restaurant: Arnolds Bakery & Coffee Shop Forum, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Arnolds Bakery & Coffee Shop Kamppi, address: Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Aromi, address: Tuhkimontie 2 A, 00820 Helsinki
Restaurant: Artshortcut, address: Pieterinkatu 3 A 1, Helsinki
Restaurant: Aschan Coffee & Deli Helsinki, Kamppi, address: Urho Kekkosen katu 1, HELSINKI
Restaurant: Aschan Coffee & Deli Helsinki, Sanomatalo, address: Alvar Aallon kuja 2, HELSINKI
Restaurant: Aschan Coffee & Deli Helsinki, Vallila, address: Teollisuuskatu 21, HELSINKI
Restaurant: Aschan Vallila, address: Teollisuuskatu 21, 00510 Helsinki
Restaurant: Aseman Grilli, address: Pennikuja 4, 00440 Helsinki
Restaurant: Aseman Wursti, address: Rautatieasema, 00100 Helsinki
Restaurant: Asia Palace, address: Särkiniementie 5, 00210 Helsinki
Restaurant: Asian Woking, address: Hansakuja 4 -4, 00930 Helsinki
Restaurant: Ateljee Bar, address: Kalevankatu 5, HELSINKI
Restaurant: Ateljé Finne, address: Arkadiankatu 14, 00100 Helsinki
Restaurant: Audio Video Freak, address: Säynäkuja 4, Helsinki
Restaurant: Auli Irjala Tmi, address: Gyldenintie 1 A 9, Helsinki
Restaurant: Aunt Jemimah's, address: Itätuulenkuja 10, Espoo
Restaurant: Auringon Pizza & Kebab, address: Opastinsilta 12 B, Helsinki
Restaurant: Auringon Pizza Kebab, address: Opastinsilta 12 b, 00520 Helsinki
Restaurant: Aussie Bar, address: Salomonkatu 5, HELSINKI
Restaurant: Aussie Club Helsinki, address: Vilhonkatu 6, HELSINKI
Restaurant: Avanti! Kamariorkesteri, address: Tallberginkatu 1-146, Helsinki
Restaurant: Avsound, address: Mannerheimintie 126 B 28, Helsinki
Restaurant: Axun Rytmi, address: Yliskyläntie 6 G 67, Helsinki
Restaurant: Azadi, address: Kauppakartanonkatu 16, 00930 Helsinki
Restaurant: Baarikärpänen, address: Mikonkatu 15, HELSINKI
Restaurant: Bada Bing, address: Itätuulenkuja 10, Espoo
Restaurant: Baguette, address: Ala-Malmintori 5, 00700 Helsinki
Restaurant: Baguette & Co., address: Rautatieasema, 00100 Helsinki
Restaurant: Baker's, address: Mannerheimintie 12, 00100 Helsinki
Restaurant: Bakfickan, address: Liisankatu 2, 00170 Helsinki
Restaurant: Baldoria Rixi Baari Oy, address: Isokaari 24, HELSINKI
Restaurant: Bambo-Bar, address: Mannerheimintie 130, Helsinki
Restaurant: Bambu (Helsingin jäähalli), address: Nordenskiöldinkatu 11-13, 00250 Helsinki
Restaurant: Bambu Hartwall Areena, address: Areenankuja 1, 00240 Helsinki
Restaurant: Bank Bar & Bistro, address: Unioninkatu 20, 00130 Helsinki
Restaurant: Bar & Bistro Amanda, address: Eteläesplanadi 2, Helsinki
Restaurant: Bar & Cafe Mister X, address: Keinulaudankuja 4 Lh 4, HELSINKI
Restaurant: Bar & Cafe Molotow, address: Vaasankatu 29, HELSINKI
Restaurant: Bar & Espresso Supply B.E., address: Holkkitie 14C, Helsinki
Restaurant: Bar & Flair Productions, address: Nordenskiöldinkatu 4 As 24, Helsinki
Restaurant: Bar & Pool Trickshot, address: Näkinkuja 1, HELSINKI
Restaurant: Bar 12 Vaasis, address: Vaasankatu 12, Helsinki
Restaurant: Bar 21, address: Helsinginkatu 21, HELSINKI
Restaurant: Bar 36, address: Kuusitie 3, Helsinki
Restaurant: Bar 52, address: Heikkiläntie 2, HELSINKI
Restaurant: Bar 62, address: Metsäpurontie 16, HELSINKI
Restaurant: Bar 7 Blings, address: Vilhonkatu 7, 00100 Helsinki
Restaurant: Bar 71, address: Meripihkatie 1, HELSINKI
Restaurant: Bar 9, address: Uudenmaankatu 9, HELSINKI
Restaurant: Bar All In, address: Mikonkatu 19, HELSINKI
Restaurant: Bar Baron, address: Eerikinkatu 17, HELSINKI
Restaurant: Bar Bhangra, address: Runeberginkatu 28, HELSINKI
Restaurant: Bar Bronco, address: Hämeentie 23, 00500 Helsinki
Restaurant: Bar Bäkkäri & Ravintola Komppi, address: Pohjoinen Rautatiekatu 21, HELSINKI
Restaurant: Bar Cafe Flemari, address: Fleminginkatu 21 A, HELSINKI
Restaurant: Bar Cafe Haagan Helmi, address: Näyttelijäntie 14 C, HELSINKI
Restaurant: Bar Chaplin, address: Mannerheimintie 6, 00100 Helsinki
Restaurant: Bar Code, address: Mannerheimintie 50, HELSINKI
Restaurant: Bar Exodus, address: Hämeentie 81-83, HELSINKI
Restaurant: Bar Fellows, address: Mannerheimintie 64, HELSINKI
Restaurant: Bar Flagon, address: Vilhonvuorenkatu 5, 00500 Helsinki
Restaurant: Bar Geronimo, address: Kaupinkalliontie 7, Espoo
Restaurant: Bar Haven, address: Unioninkatu 17, Helsinki
Restaurant: Bar High Level, address: Mannerheimintie 130, 00270 Helsinki
Restaurant: Bar Idän Tähti, address: Asiakkaankatu 3, Helsinki
Restaurant: Bar Idäntähti, address: Asiakkaankatu 3, HELSINKI
Restaurant: Bar Invest, address: Mechelinkatu 47A 4, Helsinki
Restaurant: Bar Jarro, address: Itätuulenkuja 10, Espoo
Restaurant: Bar KallioHovi, address: Vaasankatu 17, HELSINKI
Restaurant: Bar Kissa, address: Puustellinrinne 3, HELSINKI
Restaurant: Bar Lab, address: Alppikatu 17, HELSINKI
Restaurant: Bar Lilla Helsingfors, address: Snellmaninkatu 13, Helsinki
Restaurant: Bar Llamas, address: Iso-Roobertinkatu 14, HELSINKI
Restaurant: Bar Loose, address: Annankatu 21, 00100 Helsinki
Restaurant: Bar Loosister, address: Hämeentie 50, HELSINKI
Restaurant: Bar Lucky Lee, address: Vanhaistentie 1, Helsinki
Restaurant: Bar Mendocino, address: Eerikinkatu 28, HELSINKI
Restaurant: Bar Mucava, address: Hämeentie 30, HELSINKI
Restaurant: Bar Musta Kissa, address: Toinen linja 15, HELSINKI
Restaurant: Bar One Drop, address: Hämeentie 30, Helsinki
Restaurant: Bar ONeills, address: Iso Roobertinkatu 10, Helsinki
Restaurant: Bar Oravanhäntä, address: Oravannahkatori 3, Espoo
Restaurant: Bar Reckless Rock, address: Helsinginkatu 12B 52, Helsinki
Restaurant: Bar Sailors, address: Näyttelijäntie 14, Helsinki
Restaurant: Bar Socis, address: Kaivokatu 12, Helsinki
Restaurant: Bar Tapasta, address: Uudenmaankatu 13, 00120 Helsinki
Restaurant: Bar Teos, address: Runeberginkatu 61, 00260 Helsinki
Restaurant: Bar U2 Pihlis, address: Meripihkatie 1, HELSINKI
Restaurant: Bar We Got Beef, address: Iso Roobertinkatu 21, HELSINKI
Restaurant: Bar West, address: Westendintie 99, Espoo
Restaurant: Bar Åke Night-Club, address: Kallvikintie 55, HELSINKI
Restaurant: Bar&Cafe Amici, address: Hämeentie 94 L 3, 00550 Helsinki
Restaurant: Barbarossa pizzaria & kebab, address: Yrjönkatu 29 (armas yökerhön vieressä), 00100 Helsinki
Restaurant: BarFanny, address: Bulevardi 40, HELSINKI
Restaurant: Baribal, address: Perämiehenkatu 6/8, 00150 Helsinki
Restaurant: Barsoom, address: Eerikinkatu 6, Helsinki
Restaurant: Barts, address: Pakilantie 11, Helsinki
Restaurant: Base, address: Leppävaarankatu 3, Espoo
Restaurant: Base Camp, address: Yliopistonkatu 5, 00100 Helsinki
Restaurant: Bassment, address: Venue, Helsinki
Restaurant: Bastion Deli, address: Kruunuvuorenkatu 9, 00160 Helsinki
Restaurant: Bastis, address: Alvar aallon katu 3, 00100 Helsinki
Restaurant: BBQ House, address: Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Beanie, address: Urho Kekkosenkatu 1, 00100 Helsinki
Restaurant: Bear Park Cafe - Karhupuiston kioski, address: Karhupuisto -, 00530 Helsinki
Restaurant: Bear Park Cafe - Kulmakahvio, address: Agricolankatu 13, 00530 Helsinki
Restaurant: Beatroot, address: Iso Roobertinkatu 10, Helsinki
Restaurant: Beauti 1, address: Kaarlenkatu 3-5, HELSINKI
Restaurant: Beauty Bar, address: Salomonkatu 10, Helsinki
Restaurant: Beaver Bar/Majava Baari, address: Porthaninkatu 9, HELSINKI
Restaurant: Beefy Queen Jambo, address: Pieni Roobertinkatu 13, 00130 Helsinki
Restaurant: Belge, address: Kluuvikatu 5, HELSINKI
Restaurant: Belge bar&bistro, address: Kluuvikatu 5, 00100 Helsinki
Restaurant: Bellevue, address: Rahapajankatu 3, 00160 Helsinki
Restaurant: Ben & Jerry's, address: Pohjoisesplanadi 35, 00100 Helsinki
Restaurant: Benjam's Bistro, address: Dagmarinkatu 5, 00100 Helsinki
Restaurant: Berghyddan, address: Vanhankaupungintie 3, 00560 Helsinki
Restaurant: Bhangra, address: Runeberginkatu 28, Helsinki
Restaurant: Bierhuis Rotterdam, address: Tennispalatsinaukio 4, HELSINKI
Restaurant: Big Time Bar, address: Mikonkatu 8, HELSINKI
Restaurant: Biljardi Metropool, address: Toinen linja 3, HELSINKI
Restaurant: Biljardihuolto, address: Etie Hesperiankatu 18, Helsinki
Restaurant: Biljardisali Metropool, address: Toinen linja 3, Helsinki
Restaurant: Biljardisali Ritz-Biljardi, address: Eteläinen Hesperiankatu 22, HELSINKI
Restaurant: Birdland, address: Mannerheimintie 8, Helsinki
Restaurant: Bistro Gradus, address: Paciuksenkatu 25, 00270 Helsinki
Restaurant: Bistro Helsinki 15, address: Korkeavuorenkatu 4, 00150 Helsinki
Restaurant: Bistro Maria, address: Munkkiniemen Puistotie 19, 00330 Helsinki
Restaurant: Black Door Olutravintola, address: Iso Roobertinkatu 1, HELSINKI
Restaurant: Blancco (Pitäjänmäki), address: Pitäjänmäentie 14, 00380 Helsinki
Restaurant: Blinit, address: Sturenkatu 9, 00510 Helsinki
Restaurant: Blue Corner, address: Svinhufvudintie 1, 00570 Helsinki
Restaurant: Blue Corner Bar, address: Svinhufvudintie 1, Helsinki
Restaurant: Blue Jay Bar, address: Lintuvaarantie 23, Espoo
Restaurant: Blue Ocean, address: Hopeatie 1, 00440 Helsinki
Restaurant: Blue Peter, address: Vattuniemen Puistotie 1, 00210 Helsinki
Restaurant: Bluesoft, address: Mikkolantie 26, Helsinki
Restaurant: Boatip, address: Alppikatu 5, 00530 Helsinki
Restaurant: Boatsmith Oy International, address: Kansankuja 6, Helsinki
Restaurant: Bohemia, address: Tallinnanaukio 3, Helsinki
Restaurant: Bombay Express, address: Hämeentie 16, Helsinki
Restaurant: Bon Cafe Ky, address: Laippatie 1, Helsinki
Restaurant: Books & Antiques, address: Malminrinne 1, Helsinki
Restaurant: Boomout Productions, address: Annankatu 2A 1 B, Helsinki
Restaurant: Botta, address: Töölönkatu 3 A, Helsinki
Restaurant: Boulevard Social, address: Bulevardi 6, 00100 Helsinki
Restaurant: Brander Ulla Pirjetta, address: Tallberginkatu 1, Helsinki
Restaurant: Brasserie, address: Pikku Satamakatu 3-5, 00160 Helsinki
Restaurant: Brasserie Eira, address: Tehtaankatu 21, 01500 Helsinki
Restaurant: Brasserie Kämp, address: Pohjoisesplanadi 29, 00100 Helsinki
Restaurant: Brasserie Le Havre, address: Kaivokatu 12, 00100 Helsinki
Restaurant: Bravuria, address: Salomonkatu 1, 00100 Helsinki
Restaurant: Bravuria Helsinki Salomonkatu, address: Salomonkatu 1, HELSINKI
Restaurant: Brewsters, address: Merikatu 6, 00120 Helsinki
Restaurant: Bridge Areena, address: Hiomotie 10, 00380 Helsinki
Restaurant: Bridges, address: John Stenbergin ranta 4, 00530 Helsinki
Restaurant: Brigantiini Mary Ann, address: Lahdensivunpolku 12, HELSINKI
Restaurant: Britannia, address: Vanhaistentie 1, 00420 Helsinki
Restaurant: Bronda, address: Eteläesplanadi 20, 00130 Helsinki
Restaurant: Bryggeri, address: Sofiankatu 2, Helsinki
Restaurant: Bryggeri Helsinki, address: Sofiankatu 2, 00170 Helsinki
Restaurant: Bud's Pizzeria, address: Helsinginkatu 11, 00500 Helsinki
Restaurant: Bulevardin Kahvisalonki, address: Bulevardi 1, 00100 Helsinki
Restaurant: Bullman, address: Fleminginkatu 21 B, 00500 Helsinki
Restaurant: Burger King, address: Kaivokatu 1, 00100 Helsinki
Restaurant: Bäkkäri, address: Pohjoinen Rautatiekatu 21, Helsinki
Restaurant: Cafe & Bar Base, address: Kalevankatu 3, Helsinki
Restaurant: Cafe & Eepos, address: Runeberginkatu 29, 00100 Helsinki
Restaurant: Cafe & Restaurant Piritta, address: Eläintarhantie 12, 00530 Helsinki
Restaurant: Cafe 5 linja, address: Viides linja 9, 00530 Helsinki
Restaurant: Cafe Aalto, address: Keskuskatu 1, 00101 Helsinki
Restaurant: Cafe Agricola, address: Tehtaankatu 23 (sisäpihalta sisään), 00150 Helsinki
Restaurant: Cafe Akvamarine, address: Uudenmaankatu 19-21, 00130 Helsinki
Restaurant: Cafe Bar 52, address: Heikkiläntie 2, 00210 Helsinki
Restaurant: Cafe Bar 9, address: Uudenmaankatu 9, Helsinki
Restaurant: Cafe Bar Kivikko, address: Kivikonkaari 39 C, 00940 Helsinki
Restaurant: Cafe Bar No 9, address: Uudenmaankatu 9-11, 00120 Helsinki
Restaurant: Cafe Bar Romano, address: Läntinen Brahenkatu 4, 00510 Helsinki
Restaurant: Cafe Bar Tauko, address: Aleksanterinkatu 11, HELSINKI
Restaurant: Cafe Bar Valimo, address: Suomenlinna B 13, 00190 Helsinki
Restaurant: Cafe Boulevard, address: Itäkatu 1-5 A 14, 00930 Helsinki
Restaurant: Cafe Cavalier, address: Malminrinne 2-4, HELSINKI
Restaurant: Cafe Compass, address: Ehrenströmintie 1, 00140 Helsinki
Restaurant: Cafe Crepes, address: Helsingin Kauppatori, 00100 Helsinki
Restaurant: Cafe Del Mar, address: Viides linja 16, 00530 Helsinki
Restaurant: Cafe du Coin, address: Unioninkatu,26, 00130 Helsinki
Restaurant: Cafe Express, address: Ratapihantie 6, 00520 Helsinki
Restaurant: Cafe Faster, address: Itäkatu 1-5 B, 00930 Helsinki
Restaurant: Cafe II-linja 23, address: Toinen linja 23, 00530 Helsinki
Restaurant: Cafe Julia, address: Sturenkatu 11, 00510 Helsinki
Restaurant: Cafe Kasarmitori, address: Fabianinkatu / Pohjoinen Makasiinikatu, 00130 Helsinki
Restaurant: Cafe Kauppatori, address: Kauppatori, 00130 Helsinki
Restaurant: Cafe Kiasma, address: Mannerheiminaukio 2, 00100 Helsinki
Restaurant: Cafe Kim Manh, address: Läkkisepänkuja 3, Espoo
Restaurant: Cafe Kontula, address: Keinulaudankuja 4 D, HELSINKI
Restaurant: Cafe Kotileipomo Laine Itäkeskus, address: Kauppakartanonkatu 3, 00900 Helsinki
Restaurant: Cafe Kuppi&Muffini, address: Kalevankatu 17, 00100 Helsinki
Restaurant: Cafe Lemon, address: Kauppalantie 22, 00320 Helsinki
Restaurant: Cafe Lemon Bar, address: Kauppalantie 22, HELSINKI
Restaurant: Cafe London Pub, address: Keinulaudankuja 4 D 43, 00940 Helsinki
Restaurant: Cafe M/S Otto, address: Harustie 2, 00980 Helsinki
Restaurant: Cafe Mascot, address: Neljäs linja 2, 00530 Helsinki
Restaurant: Cafe Metro, address: Vuorikatu 16, 00100 Helsinki
Restaurant: Cafe Neuhaus, address: Unioninkatu 32, 00100 Helsinki
Restaurant: Cafe Noutoherkku, address: Siltasaarenkatu 3, 00530 Helsinki
Restaurant: Cafe Otto, address: Harustie 2, HELSINKI
Restaurant: Cafe Oulunkylä, address: Oulunkyläntie 7, 00600 Helsinki
Restaurant: Cafe Parisien, address: Kauppatori, 00130 Helsinki
Restaurant: Cafe Pub Paris, address: Keinulaudankuja 4, 00940 Helsinki
Restaurant: Cafe Regatta, address: Merikannontie 10, 00260 Helsinki
Restaurant: cafe Rixi, address: itämerenkatu 16, 00180 Helsinki
Restaurant: cafe rouge, address: urho kekkosen katu 4-6, 00100 Helsingfors
Restaurant: Cafe Stoa Cultural Kitchen, address: Turunlinnantie 1, 00900 Helsinki
Restaurant: Cafe Talo, address: Hämeentie 2 b, 00530 Helsinki
Restaurant: Cafe Tanja, address: Tyynenmerenkatu 1, 00220 Helsinki
Restaurant: Cafe Terminus, address: Katajanokka K 8, 00160 Helsinki
Restaurant: Cafe Torpanranta, address: Munkkiniemenranta 2, 00330 Helsinki
Restaurant: Cafe Ursula, address: Ehrenströmintie 3, 00140 Helsinki
Restaurant: Cafe Vanha, address: Mannerheimintie 3, 00100 Helsinki
Restaurant: Cafe Viikki, address: Putkitie 3, 00880 Helsinki
Restaurant: Cafe Yrjö, address: Yrjönkatu 21 B, 00100 Helsinki
Restaurant: Cafetoria Roastery, address: Runeberginkatu 31, 00100 Helsinki
Restaurant: Caffe Nonna, address: Tehtaankatu 25, 00150 Helsinki
Restaurant: Cafè A Snellman, address: Vanha Kauppahalli, Eteläranta 1, 00130 Helsinki
Restaurant: Cafè Ekberg, address: Bulevardi 9, HELSINKI
Restaurant: Café Adjutant, address: Seurasaarentie 15, 00250 Helsinki
Restaurant: Café Amos, address: Yrjönkatu 27, 00100 Helsinki
Restaurant: Café Argos, address: Aleksanterinkatu 52, 00100 Helsinki
Restaurant: Café Baana, address: Pohjoinen Rautatiekatu 21, Helsinki
Restaurant: Café Balzac, address: Iso Roobertinkatu 3-5, 00120 Helsinki
Restaurant: Café Cardemumma, address: Kaarlenkatu 15 LH 99, 00530 Helsinki
Restaurant: Café Cavalier, address: Malminrinne 2-4, 00100 Helsinki
Restaurant: Café Chapman, address: Suomenlinna B 1, 00190 Helsinki
Restaurant: Café Corelli, address: Ruosilankuja 3 A, 00390 Helsinki
Restaurant: Café Culma, address: Töölönkatu 1, 00100 Helsinki
Restaurant: Café Delivo, address: Munkkiniemen Puistotie 17, 00330 Helsinki
Restaurant: Café Esplanad, address: Pohjoisesplanadi 37, 00100 Helsinki
Restaurant: Café Fonda, address: Turunlinnantie 4, Helsinki
Restaurant: Café Jugend, address: Pohjoisesplanadi 19, HELSINKI
Restaurant: Café Kiasma, address: Mannerheiminaukio 1, HELSINKI
Restaurant: Café Koti, address: Laajalahdentie 11, 00330 Helsinki
Restaurant: Café Lasipalatsi, address: Mannerheimintie 22-24, 00100 Helsinki
Restaurant: Café Lemon Bar, address: Kauppalantie 22, Helsinki
Restaurant: Café Picnic Yliopistonkatu 5, address: Yliopistonkatu 5, 00100 Helsinki
Restaurant: Café Red, address: Arkadiankatu 19, 00100 Helsinki
Restaurant: Café Rouge, address: Urho Kekkosen katu 4-6, 00100 Helsinki
Restaurant: Café Stockmannin kulma, address: Mannerheimintie, 00100 Helsinki
Restaurant: Café Strindberg, address: Pohjoisesplanadi 33, 00100 Helsinki
Restaurant: Café Succès, address: Korkeavuorenkatu 2, 00140 Helsinki
Restaurant: Café Tin Tin Tango, address: Töölöntorinkatu 7, 00260 Helsinki
Restaurant: Café Trocadero, address: Uudenmaankatu 2, 00120 Helsinki
Restaurant: Café Truffel, address: Sibeliuksenkatu 5, 00250 Helsinki
Restaurant: Café Ursula, Kaivopuisto, address: Ehrenströmintie 3, HELSINKI
Restaurant: Café Vanille, address: Suomenlinna C 18, 00190 Helsinki
Restaurant: Café Veganissimo, address: Kulmavuorenkatu 2, 00500 Helsinki
Restaurant: Café Veranda, address: Mannerheimintie 13 e, 00100 Helsinki
Restaurant: Café-Pizzeria Ulpiana, address: Mäkelänkatu 45, 00550 Helsinki
Restaurant: Cale-Cafe, address: Lapinlahdenkatu 21, 00180 Helsinki
Restaurant: Cantina West, address: Kasarmikatu 23, HELSINKI
Restaurant: Cardemumma, address: Kaarlenkatu 15, Helsinki
Restaurant: Carelia, address: Mannerheimintie 56, 00260 Helsinki
Restaurant: Caruzello, address: Tivolikuja 1, 00510 Helsinki
Restaurant: Casa Largo, address: Asema-Aukio 2, 00100 Helsinki
Restaurant: Casale Ky, address: Pelimannintie 15 A 180, Helsinki
Restaurant: Casino Helsinki, address: Mikonkatu 19, Helsinki
Restaurant: Casino Helsinki / Casino Piazza, address: Mikonkatu 19, 00100 Helsinki
Restaurant: Casino Helsinki Royal Ravintolat, address: Mikonkatu 19, HELSINKI
Restaurant: Catarina Pettersson Productions, address: Uudenkaupungintie 3 B 12, Helsinki
Restaurant: Cedars Production, address: Inkoonkatu 10A 3, Helsinki
Restaurant: Cella, address: Fleminginkatu 15, 00500 Helsinki
Restaurant: Central, address: Pietarinkatu 15, 00140 Helsinki
Restaurant: Centter Cervice Helsinki, address: Takomotie 27 D 115, Helsinki
Restaurant: Chai Wan Teehuone, address: Aleksanterinkatu 28, 00180 Helsinki
Restaurant: Channel Zero, address: Terveystie 16, Helsinki
Restaurant: Chef & Sommelier, address: Huvilakatu 28, 00150 Helsinki
Restaurant: Cheng Du, address: Porvoonkatu 16, 00510 Helsinki
Restaurant: Chico's, address: Vuotie 45, Helsinki
Restaurant: Chico's Arabia, address: Hämeentie 109-111, 00550 Helsinki
Restaurant: Chico's Bulevardi, address: Hietalahdenranta 5 C, 00120 Helsinki
Restaurant: Chico's Kallio, address: Porthaninkatu 4, 00530 Helsinki
Restaurant: Chico's Töölö, address: Mannerheimintie 68, 00260 Helsinki
Restaurant: Chico's Viikki, address: Viikintori 3, 00790 Helsinki
Restaurant: Chico's Vuosaari, address: Vuotie 45, 00980 Helsinki
Restaurant: Chilitos, address: Kantelettarentie 1, 00420 Helsinki
Restaurant: Chilli Asematunneli, address: Asematunneli, 00100 Helsinki
Restaurant: Chilli Keskuskatu 6, address: Keskuskatu 6, 00100 Helsinki
Restaurant: Chilli Mikonkatu, address: Mikonkatu 8, 00100 Helsinki
Restaurant: Chilli Siltasaarenkatu 11, address: Siltasaarenkatu 11, 00530 Helsinki
